NAME            	NAMESPACE       	REVISION	UPDATED                                 	STATUS  	CHART                          	APP VERSION                 
argo-rollouts   	observability   	2       	2026-08-11 08:56:23.551150021 +0300 EEST	deployed	argo-rollouts-2.41.1           	v1.9.1                      
backstage       	backstage       	25      	2026-08-19 16:25:58.030200282 +0300 EEST	deployed	backstage-2.10.0               	                            
descheduler     	kube-system     	2       	2026-08-11 08:56:21.932125284 +0300 EEST	deployed	descheduler-0.36.0             	0.36.0                      
devtron         	devtroncd       	3       	2026-08-19 17:25:51.908079207 +0300 EEST	deployed	devtron-operator-0.23.3        	2.2.0                       
eshtry-mny      	eshtry-mny      	6       	2026-09-17 20:20:42.18741423 +0300 EEST 	deployed	eshtry-mny-0.1.0               	1.0                         
external-secrets	external-secrets	1       	2026-08-11 06:16:27.262147738 +0300 EEST	deployed	external-secrets-2.9.0         	v2.9.0                      
gitea           	gitea           	1       	2026-07-26 03:59:11.359247366 +0300 EEST	deployed	gitea-12.7.0                   	1.27.0                      
harbor          	harbor          	1       	2026-07-26 05:07:29.351525107 +0300 EEST	deployed	harbor-1.19.1                  	2.15.1                      
hephastos       	hephastos       	9       	2026-09-02 06:03:42.52773442 +0300 EEST 	deployed	hephastos-1.0.0                	1.0.0                       
jenkins         	jenkins         	1       	2026-07-26 03:47:58.408491074 +0300 EEST	deployed	jenkins-5.9.45                 	2.568.1                     
kyverno         	kyverno         	1       	2026-08-07 02:56:07.851315801 +0300 EEST	deployed	kyverno-3.8.2                  	v1.18.2                     
minio           	observability   	1       	2026-08-11 10:00:41.441167941 +0300 EEST	deployed	minio-5.4.0                    	RELEASE.2024-12-18T13-15-44Z
otel-collector  	observability   	1       	2026-08-11 06:09:46.431563211 +0300 EEST	deployed	opentelemetry-collector-0.169.0	0.158.0                     
policy-reporter 	kyverno         	1       	2026-08-07 03:00:44.693381288 +0300 EEST	failed  	policy-reporter-3.9.1          	3.9.0                       
prometheus      	monitoring      	1       	2026-07-26 04:30:12.535793401 +0300 EEST	deployed	kube-prometheus-stack-87.19.1  	v0.92.1                     
sonarqube       	sonarqube       	1       	2026-08-07 02:55:51.525347591 +0300 EEST	deployed	sonarqube-2026.4.0             	2026.4.0                    
traefik         	kube-system     	2       	2026-08-10 05:44:53.089904393 +0000 UTC 	deployed	traefik-40.1.3+up40.1.0        	v3.7.1                      
traefik-crd     	kube-system     	2       	2026-08-10 05:44:53.719061649 +0000 UTC 	deployed	traefik-crd-40.1.3+up40.1.0    	v3.7.1                      
trivy-operator  	trivy-system    	2       	2026-09-17 16:05:47.407773814 +0300 EEST	deployed	trivy-operator-0.36.0          	0.34.0                      
vault           	vault           	1       	2026-07-26 05:45:34.165738223 +0300 EEST	deployed	vault-0.34.0                   	2.0.3                       
velero          	velero          	2       	2026-08-11 10:35:50.461015226 +0300 EEST	deployed	velero-12.1.0                  	1.18.1                      
